Table_One_Id,EmployeeId,Organization,Plot,Admitting,Team_Members,Category_Of_work,Employee_Preparedness,An_Object,Finish_Work_Date ,Subdivision,Work_Manager,Observer,Open_Single_Line_Diagram,Is_Entrusted,Start_Work,Names_Electrical_Installations,Separate_Instractions,Signature,Be_Disconnected,Outfit_Issued,Surname
166,166,Hewlett-Packard,№166,Smith,"Howell,Willie C.",work with partial voltage relief,5/18/2016 4:34:17,Residential building of a blocked development;,5/18/2016 23:37:23,repair and construction team,MARTIEN VERHAEG,"Lecter, Hannibal",No,MARTIEN VERHAEG,5/18/2016 4:34:17,,,"Howell,Willie C.",,"Lecter, Hannibal",Smith
167,167,Apple,№167,Jackson,"Hubbard,Katherine",work on current-carrying parts,5/18/2016 4:37:40,Mid-rise apartment building;,5/18/2016 23:46:31,technical department,THOMAS ALDANA,"Leruth, Giovanni",Yes,THOMAS ALDANA,5/18/2016 4:37:40,,,"Hubbard,Katherine",,"Leruth, Giovanni",Jackson
168,168,Microsoft,№168,Fonda,"Huber,Carolyn",work away from current-carrying parts,5/18/2016 4:37:52,Multi-storey apartment building.,5/18/2016 23:56:57,repair and construction team,CARL JEPSEN,"Liebig, Ketsia",No,CARL JEPSEN,5/18/2016 4:37:52,,,"Huber,Carolyn",,"Liebig, Ketsia",Fonda
169,169,Ford,№169,Schell,"Hudson,Maureen Anne",work with complete voltage relief,5/18/2016 4:48:24,Low-rise apartment building;,5/19/2016 0:13:35,technical department,AMPARO RODRIGUEZ,"Linares, Marilyn ",Yes,AMPARO RODRIGUEZ,5/18/2016 4:48:24,,,"Hudson,Maureen Anne",,"Linares, Marilyn ",Schell
170,170,Johnson&Johnson,№170,Peck,"Hughes,Edward F.",work with complete voltage relief,5/18/2016 4:57:53,Residential building of a blocked development;,5/19/2016 0:51:23,repair and construction team,WILLIAM SCOTT,"Linden, Mathew",No,WILLIAM SCOTT,5/18/2016 4:57:53,,,"Hughes,Edward F.",,"Linden, Mathew",Peck
171,171,General Motors,№171,Poitier,"Humphrey,Mary E.",work with partial voltage relief,5/18/2016 4:59:02,Mid-rise apartment building;,5/19/2016 0:57:15,technical department,GEORGE LYSENKO,"Lindsay, Leonara ",Yes,GEORGE LYSENKO,5/18/2016 4:59:02,,,"Humphrey,Mary E.",,"Lindsay, Leonara ",Poitier
172,172,Verizon Communications,№172,Harrison,"Hunker,Mark E.",work on current-carrying parts,5/18/2016 5:00:58,Multi-storey apartment building.,5/19/2016 1:25:38,repair and construction team,MICHAEL BROWNE,"Lundy, Susan",No,MICHAEL BROWNE,5/18/2016 5:00:58,,,"Hunker,Mark E.",,"Lundy, Susan",Harrison
173,173,Morgan Stanley,№173,Marvin,"Huynh,Phu D.",work away from current-carrying parts,5/18/2016 5:06:51,Low-rise apartment building;,5/19/2016 1:27:00,technical department,HARRY PINKARD,"Lunquist, Lisa",Yes,HARRY PINKARD,5/18/2016 5:06:51,,,"Huynh,Phu D.",,"Lunquist, Lisa",Marvin
174,174,MetLife,№174,Scofield,"Ibarra,Mickey",work with complete voltage relief,5/18/2016 5:11:10,Residential building of a blocked development;,5/19/2016 3:32:05,repair and construction team,ALBERTO PEDRUCO,"Lydon, Allison",No,ALBERTO PEDRUCO,5/18/2016 5:11:10,,,"Ibarra,Mickey",,"Lydon, Allison",Scofield
175,175,PepsiCo,№175,Steiger,"Ickes,Harold",work with partial voltage relief,5/18/2016 5:11:50,Mid-rise apartment building;,5/19/2016 4:55:27,technical department,LAWRENCE LEE,"Lynch, Lindsay",Yes,LAWRENCE LEE,5/18/2016 5:11:50,,,"Ickes,Harold",,"Lynch, Lindsay",Steiger
176,176,Cisco Systems,№176,Wayne,"Ikemiyashiro,Diane",work on current-carrying parts,5/18/2016 5:15:37,Multi-storey apartment building.,5/19/2016 5:07:20,repair and construction team,DWAYNE CURRY,"MacLennan, Samuel",No,DWAYNE CURRY,5/18/2016 5:15:37,,,"Ikemiyashiro,Diane",,"MacLennan, Samuel",Wayne
177,177,Coca-Cola,№177,Hackman,"Imbroscio,Michael X.",work away from current-carrying parts,5/18/2016 5:28:33,Low-rise apartment building;,5/19/2016 6:20:12,technical department,RENEE MARQUARDT,"Mahoney, Lauren  ",Yes,RENEE MARQUARDT,5/18/2016 5:28:33,,,"Imbroscio,Michael X.",,"Mahoney, Lauren  ",Hackman
178,178,Intel,№178,Brando,"Jackson,Ronda H.",work with complete voltage relief,5/18/2016 5:29:14,Residential building of a blocked development;,5/19/2016 6:59:37,repair and construction team,HARVEY ELWIN,"Manchester, Robyn",No,HARVEY ELWIN,5/18/2016 5:29:14,,,"Jackson,Ronda H.",,"Manchester, Robyn",Brando
179,179,Comcast,№179,Lemmon,"Jacoby,Peter G.",work with partial voltage relief,5/18/2016 5:41:19,Mid-rise apartment building;,5/19/2016 7:50:46,technical department,LEON WHITE,"Mancuso, Karen",Yes,LEON WHITE,5/18/2016 5:41:19,,,"Jacoby,Peter G.",,"Mancuso, Karen",Lemmon
180,180,Kraft Foods,№180,Nicholson,"James,Theodoric C.,Jr.",work on current-carrying parts,5/18/2016 5:42:39,Multi-storey apartment building.,5/19/2016 8:46:30,repair and construction team,DENNIS HERRERA,"Mangal, Debbie",No,DENNIS HERRERA,5/18/2016 5:42:39,,,"James,Theodoric C.,Jr.",,"Mangal, Debbie",Nicholson
181,181,UnitedHealth Group,№181,Finch ,"Janenda,Thomas D.",work away from current-carrying parts,5/18/2016 5:45:48,Low-rise apartment building;,5/19/2016 9:03:32,technical department,DONALD BRYANT,"Martin, Sandra",Yes,DONALD BRYANT,5/18/2016 5:45:48,,,"Janenda,Thomas D.",,"Martin, Sandra",Finch 
182,182,Oracle,№182,Dreyfuss,"Jarrell,Sylvia M.",work with complete voltage relief,5/18/2016 5:47:41,Residential building of a blocked development;,5/19/2016 9:39:41,repair and construction team,NATHAN HARDY,"Maurice, Shana",No,NATHAN HARDY,5/18/2016 5:47:41,,,"Jarrell,Sylvia M.",,"Maurice, Shana",Dreyfuss
183,183,Walt Disney,№183,Hoffman,"Jasso Rotunno,Cynthia",work with complete voltage relief,5/18/2016 5:49:21,Mid-rise apartment building;,5/19/2016 15:17:48,technical department,SUSAN BUCHBINDER,"Carthy, B'rigit",Yes,SUSAN BUCHBINDER,5/18/2016 5:49:21,,,"Jasso Rotunno,Cynthia",,"Carthy, B'rigit",Hoffman
184,184,United Technologies,№184,Henry ,"Jennings,Christopher C.",work with partial voltage relief,5/18/2016 5:49:42,Multi-storey apartment building.,5/19/2016 15:29:02,repair and construction team,KIRSTEN BARASH,"Mckenna, Sandy",No,KIRSTEN BARASH,5/18/2016 5:49:42,,,"Jennings,Christopher C.",,"Mckenna, Sandy",Henry 
185,185,American Express,№185,Duvall,"Johnson,Leanne I.",work on current-carrying parts,5/18/2016 5:50:59,Low-rise apartment building;,5/19/2016 16:31:02,technical department,DENNIS SUTTER,"McKinzie, Jac",Yes,DENNIS SUTTER,5/18/2016 5:50:59,,,"Johnson,Leanne I.",,"McKinzie, Jac",Duvall
186,186,Prudential Financial,№186,Burstyn,"Johnson,Lee Richard",work away from current-carrying parts,5/18/2016 5:52:27,Residential building of a blocked development;,5/19/2016 17:21:19,repair and construction team,JOHN BROWN,"Meads, Elizabeth",No,JOHN BROWN,5/18/2016 5:52:27,,,"Johnson,Lee Richard",,"Meads, Elizabeth",Burstyn
187,187,Boeing,№187,Dunaway,"Johnson,Robert Benjamin",work with complete voltage relief,5/18/2016 6:03:51,Mid-rise apartment building;,5/19/2016 17:24:06,technical department,KATHRYN BALLOU,"Medeiros, Jennifer",Yes,KATHRYN BALLOU,5/18/2016 6:03:51,,,"Johnson,Robert Benjamin",,"Medeiros, Jennifer",Dunaway
188,188,CVS Caremark,№188,Keaton,"Johnson,Rochester M.",work with partial voltage relief,5/18/2016 6:21:19,Multi-storey apartment building.,5/19/2016 18:41:27,repair and construction team,DONALD FIELDS,"Miller, Brannon",No,DONALD FIELDS,5/18/2016 6:21:19,,,"Johnson,Rochester M.",,"Miller, Brannon",Keaton
189,189,Google,№189,Fonda,"Jones,Anna L.",work on current-carrying parts,5/18/2016 6:23:18,Low-rise apartment building;,5/19/2016 19:11:55,technical department,LUIS HERRERA,"Miller, Ned",Yes,LUIS HERRERA,5/18/2016 6:23:18,,,"Jones,Anna L.",,"Miller, Ned",Fonda
190,190,Abbott Labaratories,№190,Field,"Jones,Crystal B.",work away from current-carrying parts,5/18/2016 6:38:46,Residential building of a blocked development;,5/19/2016 19:36:15,repair and construction team,GEORGE FOURAS,"Monkfish, Erasumus",No,GEORGE FOURAS,5/18/2016 6:38:46,,,"Jones,Crystal B.",,"Monkfish, Erasumus",Field
191,191,U.S Bancorp,№191,Spacek,"Jones,Cyril",work with complete voltage relief,5/18/2016 6:40:35,Mid-rise apartment building;,5/19/2016 19:38:25,technical department,MARTIN LALOR JR,"Monroe, Peter",Yes,MARTIN LALOR JR,5/18/2016 6:40:35,,,"Jones,Cyril",,"Monroe, Peter",Spacek
192,192,Caterpillar,№192,Lange,"Jones,Deborah A.",work with partial voltage relief,5/18/2016 6:41:08,Multi-storey apartment building.,5/19/2016 20:03:19,repair and construction team,GRAD GREEN,"Monterro, Luisa",No,GRAD GREEN,5/18/2016 6:41:08,,,"Jones,Deborah A.",,"Monterro, Luisa",Lange
193,193,Dow Chemical,№193,Paltrow,"Jordan,Jennifer Ann",work on current-carrying parts,5/18/2016 6:53:02,Low-rise apartment building;,5/19/2016 22:48:05,technical department,DARCY KELLER,"Moran, Patrick",Yes,DARCY KELLER,5/18/2016 6:53:02,,,"Jordan,Jennifer Ann",,"Moran, Patrick",Paltrow
194,194,The Home Depot,№194,Berry,"Kagan,Elena",work away from current-carrying parts,5/18/2016 6:55:07,Residential building of a blocked development;,5/20/2016 0:02:59,repair and construction team,SAMUEL ROMERO,"Morway, Tanya",No,SAMUEL ROMERO,5/18/2016 6:55:07,,,"Kagan,Elena",,"Morway, Tanya",Berry
195,195,News Corporation,№195,Kidman,"Kalbaugh,David E.",work with complete voltage relief,5/18/2016 7:02:48,Mid-rise apartment building;,5/20/2016 3:06:30,technical department,ALEXANDER CHEN,"Motlagh,  Dawn",Yes,ALEXANDER CHEN,5/18/2016 7:02:48,,,"Kalbaugh,David E.",,"Motlagh,  Dawn",Kidman
196,196,Marathon Oil,№196,Theron,"Kaplan,Jody J.",work with complete voltage relief,5/18/2016 7:04:09,Multi-storey apartment building.,5/20/2016 10:38:33,repair and construction team,OLLIE BANKS,"Moumanil, Maliki ",No,OLLIE BANKS,5/18/2016 7:04:09,,,"Kaplan,Jody J.",,"Moumanil, Maliki ",Theron
197,197,PNC Financial Sevices,№197,Obama,"Kearney,Janis F.",work with partial voltage relief,5/18/2016 7:10:02,Low-rise apartment building;,5/20/2016 13:20:21,technical department,BURK DELVENTHAL,"Myers, Michael",Yes,BURK DELVENTHAL,5/18/2016 7:10:02,,,"Kearney,Janis F.",,"Myers, Michael",Obama
198,198,Philip Morris International,№198,Black,"King,Angus S.,III",work on current-carrying parts,5/18/2016 7:12:21,Residential building of a blocked development;,5/20/2016 14:14:30,repair and construction team,THOMAS HARVEY,"Navathe, Kurt",No,THOMAS HARVEY,5/18/2016 7:12:21,,,"King,Angus S.,III",,"Navathe, Kurt",Black
199,199,United Parcel Service,№199,Brown,"King,Joshua A.",work away from current-carrying parts,5/18/2016 7:13:43,Mid-rise apartment building;,5/20/2016 19:04:39,technical department,MARTIN BELTRAN,"Ndzi, Colombui",Yes,MARTIN BELTRAN,5/18/2016 7:13:43,,,"King,Joshua A.",,"Ndzi, Colombui",Brown
200,200,Target,№200,Milland,"Kirkhorn,Nicholas B.",work with complete voltage relief,5/18/2016 7:19:47,Multi-storey apartment building.,5/21/2016 1:09:01,repair and construction team,LORI BORGHI,"Ndzi, Horia",No,LORI BORGHI,5/18/2016 7:19:47,,,"Kirkhorn,Nicholas B.",,"Ndzi, Horia",Wick
201,201,JPMorgan Chase,№201,March,"Kitchen,Catherine T.",work with partial voltage relief,5/18/2016 7:27:20,Low-rise apartment building;,5/21/2016 4:55:48,technical department,ROBERT TAI,"Newman, Richard ",Yes,ROBERT TAI,5/18/2016 7:27:20,,,"Kitchen,Catherine T.",,"Newman, Richard ",Constantine
202,202,General Electric,№202,Brynner,"Knight,Sarah S.",work on current-carrying parts,5/18/2016 7:28:01,Residential building of a blocked development;,5/21/2016 5:39:46,repair and construction team,CHRISTOPHER HAZEN,"Ngodup, Shari ",No,CHRISTOPHER HAZEN,5/18/2016 7:28:01,,,"Knight,Sarah S.",,"Ngodup, Shari ",Anderson
203,203,ExxonMobil,№203,Crawford,"Krause,Lori K.",work away from current-carrying parts,5/18/2016 7:41:18,Mid-rise apartment building;,5/21/2016 6:11:46,technical department,PIERRE FRANCOIS,"Nguyen, Dheepa",Yes,PIERRE FRANCOIS,5/18/2016 7:41:18,,,"Krause,Lori K.",,"Nguyen, Dheepa",Telles
204,204,Berkshire Hathaway,№204,Wyman,"Kucik,Karen",work with complete voltage relief,5/18/2016 7:41:18,Multi-storey apartment building.,5/21/2016 9:40:35,repair and construction team,ROSELYN JEQUINTO,"Nguyen, Lei-Ming",No,ROSELYN JEQUINTO,5/18/2016 7:41:18,,,"Kucik,Karen",,"Nguyen, Lei-Ming",Maradona
205,205,Citigroup,№205,Magnani,"Kullman,Karin",work with partial voltage relief,5/18/2016 7:46:46,Low-rise apartment building;,5/21/2016 15:29:09,technical department,TROY JOLLIFF,"Nowlan, Kristie",Yes,TROY JOLLIFF,5/18/2016 7:46:46,,,"Kullman,Karin",,"Nowlan, Kristie",Ronaldo
206,206,Wells Fargo,№206,Hepburn,"Labrador,Agustin A.",work on current-carrying parts,5/18/2016 7:46:57,Residential building of a blocked development;,5/21/2016 18:00:49,repair and construction team,COLLEEN RILEY,"O'hare, Lynn",No,COLLEEN RILEY,5/18/2016 7:46:57,,,"Labrador,Agustin A.",,"O'hare, Lynn",Tal
207,207,AT&T,№207,Hepburn,"Labrecque,Tracy B.",work away from current-carrying parts,5/18/2016 7:54:01,Mid-rise apartment building;,5/22/2016 2:29:36,technical department,EUGENE GALEANO,"Oliver, Brooke ",Yes,EUGENE GALEANO,5/18/2016 7:54:01,,,"Labrecque,Tracy B.",,"Oliver, Brooke ",Bates
208,208,Chevron,№208,Streisand,"Latham,Sara M.",work with complete voltage relief,5/18/2016 7:55:10,Multi-storey apartment building.,5/22/2016 12:38:59,repair and construction team,MICHAEL AHERN,"Onque, Jasmine",No,MICHAEL AHERN,5/18/2016 7:55:10,,,"Latham,Sara M.",,"Onque, Jasmine",Kidman
209,209,Walmart,№209,Smith,"Lattimore,G. Neel",work with complete voltage relief,5/18/2016 8:08:44,Low-rise apartment building;,5/22/2016 12:43:15,technical department,BRIAN DELAHUNTY,"Osturnka, Adeel",Yes,BRIAN DELAHUNTY,5/18/2016 8:08:44,,,"Lattimore,G. Neel",,"Osturnka, Adeel",Milland
210,210,ConocoPhillips,№210,Jackson,"Lavery,Chris J.",work with partial voltage relief,5/18/2016 8:10:41,Residential building of a blocked development;,5/22/2016 12:43:20,repair and construction team,ROBERT SERRANO,"Owad, Clinton",No,ROBERT SERRANO,5/18/2016 8:10:41,,,"Lavery,Chris J.",,"Owad, Clinton",April
211,211,American International Group,№211,Fonda,"Levin,Lisa J.",work on current-carrying parts,5/18/2016 8:14:39,Mid-rise apartment building;,5/22/2016 12:44:48,technical department,JAMES VANNUCCHI,"Ozark, Travis",Yes,JAMES VANNUCCHI,5/18/2016 8:14:39,,,"Levin,Lisa J.",,"Ozark, Travis",Brynner
212,212,IBM,№212,Schell,"Lewis,Ann F.",work away from current-carrying parts,5/18/2016 8:14:52,Multi-storey apartment building.,5/22/2016 12:45:39,repair and construction team,CROCE CASCIATO,"Panjwani, Nina",No,CROCE CASCIATO,5/18/2016 8:14:52,,,"Lewis,Ann F.",,"Panjwani, Nina",Crawford
213,213,Procter&Gamble,№213,Peck,"Lewis,Maureen F.",work with complete voltage relief,5/18/2016 8:17:01,Low-rise apartment building;,5/22/2016 13:11:35,technical department,PHILIP STEVENS,"Patronick, Lucas",Yes,PHILIP STEVENS,5/18/2016 8:17:01,,,"Lewis,Maureen F.",,"Patronick, Lucas",Wyman
214,214,Pfizer,№214,Poitier,"Lewis,Patricia F.",work with partial voltage relief,5/18/2016 8:18:08,Residential building of a blocked development;,5/22/2016 13:39:57,repair and construction team,TIMOTHY SULLIVAN,"Pearson, Randall",No,TIMOTHY SULLIVAN,5/18/2016 8:18:08,,,"Lewis,Patricia F.",,"Pearson, Randall",Magnani
215,215,Goldman Sachs,№215,Harrison,"Lewis,Sharon R.",work on current-carrying parts,5/18/2016 8:22:09,Mid-rise apartment building;,5/22/2016 13:55:14,technical department,JOHN FEENEY,"Smith, Martin",Yes,JOHN FEENEY,5/18/2016 8:22:09,,,"Lewis,Sharon R.",,"Smith, Martin",Hepburn
216,216,Hewlett-Packard,№216,Marvin,"Lindsey,Bruce R.",work away from current-carrying parts,5/18/2016 8:24:22,Multi-storey apartment building.,5/22/2016 14:01:36,repair and construction team,CANTREZ TRIPLETT,"Pelletier, Ermine",No,CANTREZ TRIPLETT,5/18/2016 8:24:22,,,"Lindsey,Bruce R.",,"Pelletier, Ermine",Hepburn
217,217,Apple,№217,Scofield,"Lockhart,Joseph P.",work with complete voltage relief,5/18/2016 8:27:23,Low-rise apartment building;,5/22/2016 14:04:52,technical department,GERARDO PINTO,"Perry, Shakira",Yes,GERARDO PINTO,5/18/2016 8:27:23,,,"Lockhart,Joseph P.",,"Perry, Shakira",Streisand
218,218,Microsoft,№218,Steiger,"Loftus,James X.",work with partial voltage relief,5/18/2016 8:34:48,Residential building of a blocked development;,5/22/2016 14:12:23,repair and construction team,NOEL MORONEY,"Peters, Lauren",No,NOEL MORONEY,5/18/2016 8:34:48,,,"Loftus,James X.",,"Peters, Lauren",Smith
219,219,Ford,№219,Wayne,"Lovell,Ellen M.",work on current-carrying parts,5/18/2016 8:41:25,Mid-rise apartment building;,5/22/2016 14:16:06,technical department,GERALD MANSUR JR,"Peterson, Ebonee  ",Yes,GERALD MANSUR JR,5/18/2016 8:41:25,,,"Lovell,Ellen M.",,"Peterson, Ebonee  ",Jackson
220,220,Johnson&Johnson,№220,Hackman,"Ludwig,Susanna M.",work away from current-carrying parts,5/18/2016 8:42:53,Multi-storey apartment building.,5/22/2016 14:22:12,repair and construction team,ROLAND PICKENS,"Petingill, Shana  ",No,ROLAND PICKENS,5/18/2016 8:42:53,,,"Ludwig,Susanna M.",,"Petingill, Shana  ",Fonda
221,221,General Motors,№221,Brando,"Magaziner,Ira C.",work with complete voltage relief,5/18/2016 8:46:21,Low-rise apartment building;,5/22/2016 15:00:49,technical department,MERCEDES GERMAN,"Petrowsky, Thelma",Yes,MERCEDES GERMAN,5/18/2016 8:46:21,,,"Magaziner,Ira C.",,"Petrowsky, Thelma",Schell
222,222,Verizon Communications,№222,Lemmon,"Maldon,Alphonso,Jr.",work with complete voltage relief,5/18/2016 8:49:24,Residential building of a blocked development;,5/22/2016 15:04:05,repair and construction team,ALAN HARVEY,"Pham, Hong",No,ALAN HARVEY,5/18/2016 8:49:24,,,"Maldon,Alphonso,Jr.",,"Pham, Hong",Peck
223,223,Morgan Stanley,№223,Nicholson,"Malone,Michael D.",work with partial voltage relief,5/18/2016 8:50:29,Mid-rise apartment building;,5/22/2016 15:12:32,technical department,MICHAEL ELLIS,"Pitt, Brad ",Yes,MICHAEL ELLIS,5/18/2016 8:50:29,,,"Malone,Michael D.",,"Pitt, Brad ",Poitier
224,224,MetLife,№224,Finch ,"Mandl,Alex D.",work on current-carrying parts,5/18/2016 8:52:16,Multi-storey apartment building.,5/22/2016 15:15:11,repair and construction team,BARBARA SCHULTHEIS,"Potts, Xana",No,BARBARA SCHULTHEIS,5/18/2016 8:52:16,,,"Mandl,Alex D.",,"Potts, Xana",Harrison
225,225,PepsiCo,№225,Dreyfuss,"Marceca,Nathan A.",work away from current-carrying parts,5/18/2016 8:56:57,Low-rise apartment building;,5/22/2016 15:18:26,technical department,RAYMOND KOENIG,"Power, Morissa",Yes,RAYMOND KOENIG,5/18/2016 8:56:57,,,"Marceca,Nathan A.",,"Power, Morissa",Marvin
226,226,Cisco Systems,№226,Hoffman,"Marcus,Laura",work with complete voltage relief,5/18/2016 8:57:05,Residential building of a blocked development;,5/22/2016 15:32:28,repair and construction team,STEPHEN TACCHINI,"Punjabhi, Louis  ",No,STEPHEN TACCHINI,5/18/2016 8:57:05,,,"Marcus,Laura",,"Punjabhi, Louis  ",Scofield
227,227,Coca-Cola,№227,Henry ,"Marshall,Capricia P.",work with partial voltage relief,5/18/2016 9:08:40,Mid-rise apartment building;,5/22/2016 15:54:14,technical department,WILLIAM RADER,"Purinton, Janine",Yes,WILLIAM RADER,5/18/2016 9:08:40,,,"Marshall,Capricia P.",,"Purinton, Janine",Steiger
228,228,Intel,№228,Duvall,"Marshall,William P.",work on current-carrying parts,5/18/2016 9:19:05,Multi-storey apartment building.,5/22/2016 16:05:06,repair and construction team,GREGORY MCFARLAND,"Quinn, Sean",No,GREGORY MCFARLAND,5/18/2016 9:19:05,,,"Marshall,William P.",,"Quinn, Sean",Wayne
229,229,Comcast,№229,Burstyn,"Mason,Julie Elizabeth",work away from current-carrying parts,5/18/2016 9:27:05,Low-rise apartment building;,5/22/2016 16:14:04,technical department,SAM YUEN,"Rachael, Maggie",Yes,SAM YUEN,5/18/2016 9:27:05,,,"Mason,Julie Elizabeth",,"Rachael, Maggie",Hackman
230,230,Kraft Foods,№230,Dunaway,"Mathews,Sylvia M.",work with complete voltage relief,5/18/2016 9:27:15,Residential building of a blocked development;,5/22/2016 16:36:17,repair and construction team,FRANK CARDINALE,"Rarrick, Quinn",No,FRANK CARDINALE,5/18/2016 9:27:15,,,"Mathews,Sylvia M.",,"Rarrick, Quinn",Brando
231,231,UnitedHealth Group,№231,Keaton,"Matsui,Doris O.",work with partial voltage relief,5/18/2016 9:29:39,Mid-rise apartment building;,5/22/2016 16:44:22,technical department,ANNE KRONENBERG,"Ren, Kylo",Yes,ANNE KRONENBERG,5/18/2016 9:29:39,,,"Matsui,Doris O.",,"Ren, Kylo",Lemmon
232,232,Oracle,№232,Fonda,"Mauton,Clifford Joseph,Jr.",work on current-carrying parts,5/18/2016 9:31:41,Multi-storey apartment building.,5/22/2016 17:04:12,repair and construction team,BARRY BLOOM,"Rhoads, Thomas",No,BARRY BLOOM,5/18/2016 9:31:41,,,"Mauton,Clifford Joseph,Jr.",,"Rhoads, Thomas",Nicholson
233,233,Walt Disney,№233,Field,"Mayock,Andrew J.",work away from current-carrying parts,5/18/2016 9:37:14,Low-rise apartment building;,5/22/2016 17:10:01,technical department,CLEMENTINO AVILA II,"Rivera, Haley  ",Yes,CLEMENTINO AVILA II,5/18/2016 9:37:14,,,"Mayock,Andrew J.",,"Rivera, Haley  ",Finch 
234,234,United Technologies,№234,Spacek,"Mays,Cathy R.",work with complete voltage relief,5/18/2016 9:39:15,Residential building of a blocked development;,5/22/2016 17:44:58,repair and construction team,RYAN KENNEDY,"Roberson, May",No,RYAN KENNEDY,5/18/2016 9:39:15,,,"Mays,Cathy R.",,"Roberson, May",Dreyfuss
235,235,American Express,№235,Lange,"McCathran,William W.",work with complete voltage relief,5/18/2016 9:42:24,Mid-rise apartment building;,5/22/2016 19:01:53,technical department,JOHN ROCCO,"Robertson, Peter",Yes,JOHN ROCCO,5/18/2016 9:42:24,,,"McCathran,William W.",,"Robertson, Peter",Hoffman
236,236,Prudential Financial,№236,Paltrow,"Mcclure,Kelli R.",work with partial voltage relief,5/18/2016 9:53:09,Multi-storey apartment building.,5/22/2016 19:04:07,repair and construction team,ARNOLD CHOY,"Robinson, Alain  ",No,ARNOLD CHOY,5/18/2016 9:53:09,,,"Mcclure,Kelli R.",,"Robinson, Alain  ",Henry 
237,237,Boeing,№237,Berry,"Mccoy,Ann A.",work on current-carrying parts,5/18/2016 9:54:14,Low-rise apartment building;,5/22/2016 19:51:39,technical department,REGINA GOMEZ,"Robinson, Cherly",Yes,REGINA GOMEZ,5/18/2016 9:54:14,,,"Mccoy,Ann A.",,"Robinson, Cherly",Duvall
238,238,CVS Caremark,№238,Kidman,"Mccurry,Michael D.",work away from current-carrying parts,5/18/2016 9:54:39,Residential building of a blocked development;,5/22/2016 20:00:12,repair and construction team,MIKE BREILING,"Robinson, Elias",No,MIKE BREILING,5/18/2016 9:54:39,,,"Mccurry,Michael D.",,"Robinson, Elias",Burstyn
239,239,Google,№239,Theron,"Mcguire,Anne E.",work with complete voltage relief,5/18/2016 9:55:57,Mid-rise apartment building;,5/22/2016 22:21:42,technical department,ANDREW LOGAN,"Roby, Lori ",Yes,ANDREW LOGAN,5/18/2016 9:55:57,,,"Mcguire,Anne E.",,"Roby, Lori ",Dunaway
240,240,Abbott Labaratories,№240,Obama,"Mchugh,Patricia A.",work with partial voltage relief,5/18/2016 9:56:07,Multi-storey apartment building.,5/22/2016 22:24:26,repair and construction team,GREGORY CORRALES,"Roehrich, Bianca",No,GREGORY CORRALES,5/18/2016 9:56:07,,,"Mchugh,Patricia A.",,"Roehrich, Bianca",Keaton
241,241,U.S Bancorp,№241,Black,"McKeown,Kathryn M.",work on current-carrying parts,5/18/2016 9:56:10,Low-rise apartment building;,5/23/2016 3:16:33,technical department,JOHN EHRLICH,"Roper, Katie",Yes,JOHN EHRLICH,5/18/2016 9:56:10,,,"McKeown,Kathryn M.",,"Roper, Katie",Fonda
242,242,Caterpillar,№242,Brown,"Mclarty,Thomas F.,III",work away from current-carrying parts,5/18/2016 10:00:58,Residential building of a blocked development;,5/23/2016 3:27:01,repair and construction team,GLENN KIRCHER,"Rose, Ashley  ",No,GLENN KIRCHER,5/18/2016 10:00:58,,,"Mclarty,Thomas F.,III",,"Rose, Ashley  ",Field
243,243,Dow Chemical,№243,Milland,"Mcmullen,Myron L.,Sr.",work with complete voltage relief,5/18/2016 10:05:09,Mid-rise apartment building;,5/23/2016 3:34:05,technical department,ARTHUR STELLINI,"Rossetti, Bruno",Yes,ARTHUR STELLINI,5/18/2016 10:05:09,,,"Mcmullen,Myron L.,Sr.",,"Rossetti, Bruno",Spacek
244,244,The Home Depot,№244,March,"Mcnamara,Nancy",work with partial voltage relief,5/18/2016 10:07:24,Multi-storey apartment building.,5/23/2016 4:12:06,repair and construction team,MARGARET RYKOWSKI,"Roup,Simon",No,MARGARET RYKOWSKI,5/18/2016 10:07:24,,,"Mcnamara,Nancy",,"Roup,Simon",Lange
245,245,News Corporation,№245,Brynner,"Mellody,April Kathleen",work on current-carrying parts,5/18/2016 10:09:50,Low-rise apartment building;,5/23/2016 5:50:18,technical department,MICHAEL SIMMONS,"Ruiz, Ricardo",Yes,MICHAEL SIMMONS,5/18/2016 10:09:50,,,"Mellody,April Kathleen",,"Ruiz, Ricardo",Paltrow
246,246,Marathon Oil,№246,Crawford,"Merryman,Ashley",work away from current-carrying parts,5/18/2016 10:18:15,Residential building of a blocked development;,5/23/2016 5:50:29,repair and construction team,RUBY MARTIN,"Saada, Adell",No,RUBY MARTIN,5/18/2016 10:18:15,,,"Merryman,Ashley",,"Saada, Adell",Berry
247,247,PNC Financial Sevices,№247,Wyman,"Michaud,R. Scott",work with complete voltage relief,5/18/2016 10:18:29,Mid-rise apartment building;,5/23/2016 8:14:53,technical department,TYRONE PRUITT,"Saar-Beckles, Melinda",Yes,TYRONE PRUITT,5/18/2016 10:18:29,,,"Michaud,R. Scott",,"Saar-Beckles, Melinda",Kidman
